"index","date","open","high","low","close","adj close","volume","closeusd"
"HSI","12/10/90","3163.0","3165.0","3138.0","3149.0","3149.0","0","409.37"
"IXIC","11/19/85","307.0","307.299988","306.100006","306.899994","306.899994","101800000","306.899994"
"399001.SZ","10/22/09","12670.96973","12751.29981","12586.66992","12624.67969","12624.53809","87700","2019.94875"
"NYA","6/22/79","615.5","615.5","615.5","615.5","615.5","0","615.5"
"HSI","1/14/98","8913.5","9317.0","8913.5","9226.599609","9226.599609","0","1199.457949"
"IXIC","4/10/03","1359.430054","1368.109985","1351.099976","1365.609985","1365.609985","1235410000","1365.609985"
"N225","5/19/66","1556.839966","1556.839966","1556.839966","1556.839966","1556.839966","0","15.56839966"
"399001.SZ","8/29/18","8716.820313","8724.80957","8649.730469","8678.259766","8678.225586","74700","1388.521563"
"SSMI","3/23/11","6200.640137","6263.669922","6199.819824","6256.060059","6256.060059","41375300","6944.226665"
"N225","3/11/70","2458.129883","2458.129883","2458.129883","2458.129883","2458.129883","0","24.58129883"
